Index,Latency
0.00049,1.431
0.00098,1.431
0.00195,1.432
0.00293,1.432
0.00391,1.432
0.00586,1.433
0.00781,1.433
0.00977,1.432
0.01172,1.433
0.01367,1.433
0.01562,1.433
0.01758,1.433
0.01953,1.433
0.02148,1.433
0.02344,1.433
0.02539,1.433
0.02734,1.435
0.02930,1.433
0.03125,1.433
0.03516,1.432
0.03906,1.433
0.04297,1.433
0.04688,1.435
0.05078,1.433
0.05469,1.434
0.05859,1.434
0.06250,1.433
0.07031,1.506
0.07812,1.443
0.08594,1.460
0.09375,1.442
0.10156,1.444
0.10938,1.442
0.11719,1.440
0.12500,1.439
0.14062,1.440
0.15625,1.454
0.17188,1.440
0.18750,1.438
0.20312,1.436
0.21875,1.439
0.23438,1.438
0.25000,1.438
0.28125,1.438
0.31250,1.450
0.34375,1.452
0.37500,1.436
0.40625,1.435
0.43750,1.438
0.46875,1.438
0.50000,1.436
0.56250,1.436
0.62500,1.437
0.68750,1.444
0.75000,1.461
0.81250,1.441
0.87500,1.448
0.93750,1.443
1.00000,1.460
1.12500,1.459
1.25000,1.439
1.37500,1.460
1.50000,1.440
1.62500,1.445
1.75000,1.461
1.87500,1.445
2.00000,1.509
2.25000,1.465
2.50000,1.502
2.75000,1.532
3.00000,1.554
3.25000,1.507
3.50000,1.466
3.75000,1.443
4.00000,1.438
4.50000,1.438
5.00000,1.435
5.50000,1.439
6.00000,1.437
6.50000,1.447
7.00000,1.440
7.50000,1.476
8.00000,1.485
9.00000,1.481
10.00000,1.464
11.00000,1.474
12.00000,1.475
13.00000,1.443
14.00000,1.446
15.00000,1.444
16.00000,1.477
18.00000,1.442
20.00000,1.446
22.00000,1.471
24.00000,1.476
26.00000,1.444
28.00000,1.442
30.00000,1.471
32.00000,1.471
36.00000,1.454
40.00000,1.473
44.00000,1.453
48.00000,1.442
52.00000,1.442
56.00000,1.464
60.00000,1.440
64.00000,1.440
72.00000,1.440
80.00000,1.469
88.00000,1.439
96.00000,1.440
104.00000,1.468
112.00000,1.439
120.00000,1.440
128.00000,1.439
144.00000,1.440
160.00000,1.439
176.00000,1.440
192.00000,1.440
208.00000,1.439
224.00000,1.441
240.00000,1.439
256.00000,1.453
288.00000,1.440
320.00000,1.446
352.00000,1.440
384.00000,1.441
416.00000,1.440
448.00000,1.445
480.00000,1.466
512.00000,1.454
576.00000,1.443
640.00000,1.442
704.00000,1.443
768.00000,1.442
832.00000,1.442
896.00000,1.442
960.00000,1.442
1024.00000,1.449
1152.00000,1.468
1280.00000,1.445
1408.00000,1.445
1536.00000,1.445
1664.00000,1.457
1792.00000,1.444
1920.00000,1.444
2048.00000,1.468
2304.00000,1.463
2560.00000,1.444
