Index,Latency
0.00049,1.431
0.00098,1.433
0.00195,1.432
0.00293,1.433
0.00391,1.432
0.00586,1.435
0.00781,1.433
0.00977,1.433
0.01172,1.435
0.01367,1.433
0.01562,1.433
0.01758,1.436
0.01953,1.432
0.02148,1.433
0.02344,1.433
0.02539,1.434
0.02734,1.434
0.02930,1.433
0.03125,1.433
0.03516,1.434
0.03906,1.434
0.04297,2.970
0.04688,2.840
0.05078,2.531
0.05469,3.067
0.05859,2.939
0.06250,2.326
0.07031,3.176
0.07812,3.410
0.08594,2.743
0.09375,3.437
0.10156,3.941
0.10938,3.993
0.11719,4.368
0.12500,4.298
0.14062,4.290
0.15625,4.292
0.17188,13.073
0.18750,13.172
0.20312,13.101
0.21875,12.022
0.23438,13.082
0.25000,11.994
0.28125,12.546
0.31250,13.361
0.34375,13.583
0.37500,12.359
0.40625,13.168
0.43750,12.979
0.46875,12.958
0.50000,12.414
0.56250,12.607
0.62500,12.602
0.68750,12.708
0.75000,12.628
0.81250,12.959
0.87500,12.871
0.93750,13.639
1.00000,13.805
1.12500,13.898
1.25000,13.989
1.37500,14.231
1.50000,14.387
1.62500,14.454
1.75000,14.725
1.87500,14.163
2.00000,15.179
2.25000,14.624
2.50000,15.051
2.75000,15.308
3.00000,15.176
3.25000,15.476
3.50000,15.816
3.75000,16.061
4.00000,16.031
4.50000,17.223
5.00000,17.146
5.50000,18.056
6.00000,18.556
6.50000,18.714
7.00000,18.885
7.50000,16.370
8.00000,21.224
9.00000,34.280
10.00000,47.770
11.00000,64.730
12.00000,79.375
13.00000,89.643
14.00000,96.248
15.00000,108.908
16.00000,113.015
18.00000,122.540
20.00000,130.193
22.00000,143.016
24.00000,139.545
26.00000,144.636
28.00000,153.762
30.00000,151.187
32.00000,154.452
36.00000,159.654
40.00000,163.660
44.00000,167.755
48.00000,169.830
52.00000,172.747
56.00000,174.244
60.00000,175.793
64.00000,177.415
72.00000,179.695
80.00000,181.608
88.00000,183.534
96.00000,183.932
104.00000,185.082
112.00000,185.879
120.00000,186.707
128.00000,187.584
144.00000,189.459
160.00000,193.460
176.00000,193.137
192.00000,214.775
208.00000,206.731
224.00000,202.932
240.00000,205.199
256.00000,205.488
288.00000,208.723
320.00000,212.981
352.00000,217.643
384.00000,223.551
416.00000,226.021
448.00000,230.000
480.00000,230.679
512.00000,232.087
576.00000,231.722
640.00000,233.246
704.00000,233.307
768.00000,234.339
832.00000,235.772
896.00000,235.896
960.00000,238.366
1024.00000,237.475
1152.00000,239.055
1280.00000,239.376
1408.00000,240.196
1536.00000,241.508
1664.00000,241.985
1792.00000,243.018
1920.00000,243.043
2048.00000,243.816
2304.00000,244.970
2560.00000,244.542
