Index,Latency
0.00049,1.432
0.00098,1.434
0.00195,1.433
0.00293,1.436
0.00391,1.432
0.00586,1.436
0.00781,1.435
0.01172,1.433
0.01562,1.435
0.02344,1.437
0.03125,1.433
0.04688,1.435
0.06250,1.434
0.09375,1.457
0.12500,1.442
0.18750,1.440
0.25000,1.439
0.37500,1.452
0.50000,1.453
0.75000,1.457
1.00000,1.461
1.50000,1.462
2.00000,1.462
3.00000,1.541
4.00000,1.482
6.00000,1.474
8.00000,1.445
12.00000,1.477
16.00000,1.476
24.00000,1.475
32.00000,1.444
48.00000,1.442
64.00000,1.441
96.00000,1.439
128.00000,1.439
192.00000,1.467
256.00000,1.439
384.00000,1.439
512.00000,1.440
768.00000,1.464
1024.00000,1.442
1536.00000,1.442
2048.00000,1.441
