Index,Latency
0.00049,1.430
0.00098,1.431
0.00195,1.434
0.00293,1.432
0.00391,1.434
0.00586,1.434
0.00781,1.433
0.01172,1.435
0.01562,1.435
0.02344,1.435
0.03125,1.435
0.04688,3.313
0.06250,2.507
0.09375,4.268
0.12500,4.124
0.18750,13.396
0.25000,13.051
0.37500,13.547
0.50000,13.245
0.75000,13.275
1.00000,14.059
1.50000,14.725
2.00000,14.826
3.00000,15.767
4.00000,16.122
6.00000,18.086
8.00000,20.815
12.00000,76.390
16.00000,110.676
24.00000,145.451
32.00000,152.391
48.00000,167.861
64.00000,175.551
96.00000,182.398
128.00000,188.553
192.00000,191.054
256.00000,198.792
384.00000,208.847
512.00000,216.528
768.00000,217.366
1024.00000,219.138
1536.00000,221.078
2048.00000,223.662
