Index,Latency
0.00049,1.430
0.00098,1.430
0.00195,1.431
0.00293,1.430
0.00391,1.431
0.00586,1.431
0.00781,1.431
0.00977,1.431
0.01172,1.431
0.01367,1.431
0.01562,1.430
0.01758,1.431
0.01953,1.431
0.02148,1.431
0.02344,1.431
0.02539,1.431
0.02734,1.431
0.02930,1.431
0.03125,1.431
0.03516,1.431
0.03906,1.431
0.04297,1.431
0.04688,1.431
0.05078,1.431
0.05469,1.431
0.05859,1.431
0.06250,1.431
0.07031,1.510
0.07812,1.452
0.08594,1.453
0.09375,1.452
0.10156,1.451
0.10938,1.452
0.11719,1.438
0.12500,1.449
0.14062,1.448
0.15625,1.436
0.17188,1.449
0.18750,1.449
0.20312,1.449
0.21875,1.435
0.23438,1.434
0.25000,1.434
0.28125,1.448
0.31250,1.433
0.34375,1.447
0.37500,1.433
0.40625,1.447
0.43750,1.447
0.46875,1.446
0.50000,1.447
0.56250,1.433
0.62500,1.433
0.68750,1.433
0.75000,1.433
0.81250,1.437
0.87500,1.437
0.93750,1.439
1.00000,1.457
1.12500,1.458
1.25000,1.458
1.37500,1.458
1.50000,1.458
1.62500,1.457
1.75000,1.457
1.87500,1.457
2.00000,1.435
2.25000,1.437
2.50000,1.459
2.75000,1.460
3.00000,1.460
3.25000,1.459
3.50000,1.515
3.75000,1.587
4.00000,1.529
4.50000,1.468
5.00000,1.456
5.50000,1.456
6.00000,1.432
6.50000,1.432
7.00000,1.457
7.50000,1.457
8.00000,1.458
9.00000,1.484
10.00000,1.543
11.00000,1.484
12.00000,1.471
13.00000,1.471
14.00000,1.470
15.00000,1.470
16.00000,1.470
18.00000,1.469
20.00000,1.468
22.00000,1.467
24.00000,1.468
26.00000,1.467
28.00000,1.467
30.00000,1.466
32.00000,1.438
36.00000,1.466
40.00000,1.465
44.00000,1.465
48.00000,1.437
52.00000,1.464
56.00000,1.463
60.00000,1.463
64.00000,1.463
72.00000,1.463
80.00000,1.463
88.00000,1.462
96.00000,1.462
104.00000,1.462
112.00000,1.462
120.00000,1.435
128.00000,1.461
144.00000,1.461
160.00000,1.462
176.00000,1.461
192.00000,1.462
208.00000,1.435
224.00000,1.461
240.00000,1.461
256.00000,1.462
288.00000,1.461
320.00000,1.461
352.00000,1.461
384.00000,1.462
416.00000,1.461
448.00000,1.461
480.00000,1.462
512.00000,1.461
576.00000,1.462
640.00000,1.461
704.00000,1.461
768.00000,1.461
832.00000,1.461
896.00000,1.461
960.00000,1.461
1024.00000,1.461
1152.00000,1.461
1280.00000,1.461
1408.00000,1.461
1536.00000,1.462
1664.00000,1.462
1792.00000,1.461
1920.00000,1.462
2048.00000,1.462
2304.00000,1.461
2560.00000,1.461
2816.00000,1.462
3072.00000,1.461
3328.00000,1.461
3584.00000,1.461
3840.00000,1.461
