Index,Latency
0.00049,1.780
0.00098,1.780
0.00195,1.780
0.00293,1.781
0.00391,1.781
0.00586,1.781
0.00781,1.780
0.00977,1.781
0.01172,1.781
0.01367,1.781
0.01562,1.782
0.01758,1.782
0.01953,1.781
0.02148,1.781
0.02344,1.782
0.02539,1.782
0.02734,1.781
0.02930,1.781
0.03125,1.781
0.03516,1.781
0.03906,3.728
0.04297,4.078
0.04688,1.783
0.05078,3.144
0.05469,1.782
0.05859,3.091
0.06250,4.263
0.07031,4.611
0.07812,4.328
0.08594,5.620
0.09375,5.739
0.10156,5.639
0.10938,5.587
0.11719,5.626
0.12500,5.397
0.14062,5.576
0.15625,5.541
0.17188,5.522
0.18750,5.684
0.20312,6.554
0.21875,6.566
0.23438,7.032
0.25000,7.096
0.28125,10.989
0.31250,13.968
0.34375,16.810
0.37500,18.536
0.40625,21.388
0.43750,20.947
0.46875,21.033
0.50000,22.009
0.56250,22.433
0.62500,21.846
0.68750,22.124
0.75000,22.082
0.81250,22.214
0.87500,22.868
0.93750,22.383
1.00000,22.573
1.12500,22.841
1.25000,22.144
1.37500,22.362
1.50000,22.549
1.62500,23.050
1.75000,23.052
1.87500,22.234
2.00000,23.271
2.25000,23.017
2.50000,23.139
2.75000,24.187
3.00000,25.065
3.25000,27.985
3.50000,29.347
3.75000,35.579
4.00000,37.307
4.50000,43.548
5.00000,53.372
5.50000,53.367
6.00000,57.116
6.50000,60.896
7.00000,76.819
7.50000,66.748
8.00000,71.661
9.00000,85.463
10.00000,109.823
11.00000,123.467
12.00000,135.761
13.00000,152.339
14.00000,157.285
15.00000,163.485
16.00000,168.744
18.00000,171.913
20.00000,180.448
22.00000,189.256
24.00000,187.851
26.00000,187.348
28.00000,189.669
30.00000,191.592
32.00000,191.016
36.00000,190.174
40.00000,191.619
44.00000,193.476
48.00000,193.020
52.00000,193.489
56.00000,194.126
60.00000,195.210
64.00000,195.176
72.00000,195.575
80.00000,196.169
88.00000,195.671
96.00000,196.839
104.00000,198.033
112.00000,197.996
120.00000,199.268
128.00000,199.279
144.00000,199.437
160.00000,200.632
176.00000,201.063
192.00000,201.731
208.00000,202.619
224.00000,203.689
240.00000,204.338
256.00000,205.662
288.00000,208.362
320.00000,212.201
352.00000,218.766
384.00000,226.484
416.00000,233.242
448.00000,238.370
480.00000,240.217
512.00000,242.094
576.00000,245.699
640.00000,249.185
704.00000,250.350
768.00000,251.950
832.00000,254.807
896.00000,255.477
960.00000,256.345
1024.00000,257.208
1152.00000,260.798
1280.00000,261.698
1408.00000,260.959
1536.00000,262.773
1664.00000,264.790
1792.00000,263.230
1920.00000,265.196
2048.00000,264.111
2304.00000,264.586
2560.00000,266.659
2816.00000,266.117
3072.00000,266.580
3328.00000,266.395
3584.00000,266.447
3840.00000,266.387
