Index,Latency
0.00049,1.512
0.00098,1.512
0.00195,1.512
0.00293,1.511
0.00391,1.512
0.00586,1.511
0.00781,1.511
0.00977,1.512
0.01172,1.511
0.01367,1.512
0.01562,1.512
0.01758,1.513
0.01953,1.512
0.02148,1.513
0.02344,1.512
0.02539,1.513
0.02734,1.513
0.02930,1.513
0.03125,1.513
0.03516,1.513
0.03906,1.514
0.04297,1.514
0.04688,1.513
0.05078,1.514
0.05469,1.516
0.05859,1.516
0.06250,1.515
0.07031,1.629
0.07812,1.695
0.08594,1.720
0.09375,1.758
0.10156,1.780
0.10938,1.802
0.11719,1.820
0.12500,1.830
0.14062,1.850
0.15625,1.863
0.17188,1.872
0.18750,1.877
0.20312,1.883
0.21875,1.890
0.23438,1.894
0.25000,1.900
0.28125,1.904
0.31250,1.906
0.34375,1.910
0.37500,1.910
0.40625,1.912
0.43750,1.911
0.46875,1.910
0.50000,1.912
0.56250,1.912
0.62500,1.914
0.68750,1.915
0.75000,1.921
0.81250,1.914
0.87500,2.014
0.93750,1.953
1.00000,1.998
1.12500,1.971
1.25000,1.953
1.37500,1.941
1.50000,1.952
1.62500,1.955
1.75000,1.951
1.87500,1.957
2.00000,1.955
2.25000,1.953
2.50000,1.952
2.75000,1.951
3.00000,1.949
3.25000,1.948
3.50000,1.949
3.75000,1.948
4.00000,1.949
4.50000,1.955
5.00000,1.957
5.50000,1.959
6.00000,1.960
6.50000,1.961
7.00000,1.960
7.50000,1.958
8.00000,1.961
9.00000,1.958
10.00000,1.957
11.00000,1.959
12.00000,1.961
13.00000,1.961
14.00000,1.962
15.00000,1.960
16.00000,1.959
18.00000,1.957
20.00000,1.961
22.00000,1.959
24.00000,1.956
26.00000,1.958
28.00000,1.959
30.00000,1.957
32.00000,1.954
36.00000,1.958
40.00000,1.959
44.00000,1.956
48.00000,1.958
52.00000,1.960
56.00000,1.960
60.00000,1.960
64.00000,1.962
72.00000,1.962
80.00000,1.956
88.00000,1.957
96.00000,1.964
104.00000,1.961
112.00000,1.955
120.00000,1.964
128.00000,1.959
144.00000,1.958
160.00000,1.955
176.00000,1.961
192.00000,1.958
208.00000,1.958
224.00000,1.958
240.00000,1.960
256.00000,1.960
288.00000,1.957
320.00000,1.959
352.00000,1.957
384.00000,1.959
416.00000,1.954
448.00000,1.960
480.00000,1.959
512.00000,1.959
576.00000,1.951
640.00000,1.952
704.00000,1.952
768.00000,1.954
832.00000,1.951
896.00000,1.956
960.00000,1.957
1024.00000,1.954
1152.00000,1.954
1280.00000,1.954
1408.00000,1.953
1536.00000,1.954
1664.00000,1.953
1792.00000,1.951
1920.00000,1.950
2048.00000,1.955
2304.00000,1.950
