Index,Latency
0.00049,1.511
0.00098,1.511
0.00195,1.513
0.00293,1.513
0.00391,1.512
0.00586,1.512
0.00781,1.512
0.00977,1.512
0.01172,1.512
0.01367,1.512
0.01562,1.514
0.01758,1.513
0.01953,1.514
0.02148,1.513
0.02344,2.016
0.02539,1.512
0.02734,1.643
0.02930,1.512
0.03125,1.516
0.03516,1.976
0.03906,1.517
0.04297,1.517
0.04688,3.232
0.05078,3.110
0.05469,3.043
0.05859,3.368
0.06250,2.874
0.07031,2.975
0.07812,3.919
0.08594,3.819
0.09375,4.123
0.10156,4.262
0.10938,4.477
0.11719,4.594
0.12500,4.726
0.14062,4.811
0.15625,4.979
0.17188,4.940
0.18750,5.093
0.20312,6.769
0.21875,6.524
0.23438,7.383
0.25000,7.663
0.28125,10.471
0.31250,12.045
0.34375,14.229
0.37500,16.675
0.40625,16.781
0.43750,17.799
0.46875,18.102
0.50000,19.241
0.56250,19.427
0.62500,20.329
0.68750,20.658
0.75000,20.660
0.81250,22.090
0.87500,23.936
0.93750,36.868
1.00000,27.815
1.12500,41.545
1.25000,58.812
1.37500,75.772
1.50000,102.940
1.62500,123.547
1.75000,147.278
1.87500,165.203
2.00000,164.255
2.25000,190.202
2.50000,206.612
2.75000,211.303
3.00000,216.318
3.25000,218.039
3.50000,229.065
3.75000,232.331
4.00000,247.006
4.50000,252.010
5.00000,261.982
5.50000,265.992
6.00000,258.670
6.50000,265.531
7.00000,272.642
7.50000,273.670
8.00000,278.848
9.00000,281.490
10.00000,292.099
11.00000,292.448
12.00000,291.594
13.00000,292.798
14.00000,294.636
15.00000,293.967
16.00000,299.856
18.00000,290.674
20.00000,302.730
22.00000,302.078
24.00000,306.129
26.00000,307.160
28.00000,308.280
30.00000,305.261
32.00000,312.621
36.00000,318.995
40.00000,347.746
44.00000,356.893
48.00000,378.415
52.00000,398.252
56.00000,416.150
60.00000,429.417
64.00000,425.952
72.00000,435.591
80.00000,444.763
88.00000,455.227
96.00000,460.360
104.00000,465.493
112.00000,470.667
120.00000,465.608
128.00000,465.511
144.00000,470.527
160.00000,471.614
176.00000,475.450
192.00000,480.232
208.00000,485.439
224.00000,479.174
240.00000,487.045
256.00000,485.938
288.00000,489.452
320.00000,396.190
352.00000,404.283
384.00000,429.519
416.00000,453.546
448.00000,462.296
480.00000,481.329
512.00000,480.175
576.00000,483.890
640.00000,485.178
704.00000,486.375
768.00000,357.462
832.00000,385.380
896.00000,434.313
960.00000,460.107
1024.00000,479.004
1152.00000,470.302
1280.00000,470.765
1408.00000,477.712
1536.00000,478.787
1664.00000,444.204
1792.00000,468.605
1920.00000,475.545
2048.00000,483.110
2304.00000,481.033
