Index,Latency
0.00049,1.703
0.00098,1.602
0.00195,1.649
0.00293,1.602
0.00391,1.602
0.00586,1.602
0.00781,1.622
0.00977,1.602
0.01172,1.605
0.01367,1.602
0.01562,1.602
0.01758,1.602
0.01953,1.602
0.02148,1.602
0.02344,1.602
0.02539,1.625
0.02734,1.602
0.02930,1.602
0.03125,1.602
0.03516,1.602
0.03906,1.602
0.04297,1.603
0.04688,1.603
0.05078,1.604
0.05469,1.603
0.05859,1.608
0.06250,1.603
0.07031,1.694
0.07812,1.752
0.08594,1.750
0.09375,1.751
0.10156,1.752
0.10938,1.758
0.11719,1.751
0.12500,1.754
0.14062,1.749
0.15625,1.747
0.17188,1.754
0.18750,1.834
0.20312,1.748
0.21875,1.750
0.23438,1.754
0.25000,1.755
0.28125,1.745
0.31250,1.750
0.34375,1.752
0.37500,1.752
0.40625,1.749
0.43750,1.758
0.46875,1.755
0.50000,1.749
0.56250,1.802
0.62500,1.780
0.68750,1.893
0.75000,1.777
0.81250,1.780
0.87500,1.769
0.93750,1.764
1.00000,1.758
1.12500,1.758
1.25000,1.755
1.37500,1.756
1.50000,1.755
1.62500,1.754
1.75000,1.753
1.87500,1.752
2.00000,1.754
2.25000,1.753
2.50000,1.752
2.75000,1.779
3.00000,1.753
3.25000,1.754
3.50000,1.754
3.75000,1.756
4.00000,1.753
4.50000,1.757
5.00000,1.758
5.50000,1.758
6.00000,1.755
6.50000,1.786
7.00000,1.764
7.50000,1.764
8.00000,1.760
9.00000,1.763
10.00000,1.761
11.00000,1.772
12.00000,1.772
13.00000,1.780
14.00000,1.792
15.00000,1.788
16.00000,1.803
18.00000,1.810
20.00000,1.829
22.00000,1.816
24.00000,1.831
26.00000,1.821
28.00000,1.839
30.00000,2.046
32.00000,1.822
36.00000,1.831
40.00000,1.829
44.00000,1.825
48.00000,1.831
52.00000,1.836
56.00000,1.880
60.00000,1.836
64.00000,1.836
72.00000,1.849
80.00000,1.866
88.00000,1.831
96.00000,1.831
104.00000,1.830
112.00000,1.837
120.00000,1.862
128.00000,1.843
144.00000,1.832
160.00000,1.834
176.00000,1.839
192.00000,1.852
208.00000,1.852
224.00000,1.840
240.00000,1.827
256.00000,1.834
288.00000,1.843
320.00000,1.841
352.00000,1.834
384.00000,1.841
416.00000,1.839
448.00000,1.910
480.00000,1.843
512.00000,1.915
576.00000,1.902
640.00000,1.843
704.00000,1.841
768.00000,1.834
832.00000,1.844
896.00000,2.079
960.00000,1.832
1024.00000,2.084
1152.00000,1.846
1280.00000,1.847
1408.00000,1.828
1536.00000,1.972
1664.00000,1.853
1792.00000,1.851
1920.00000,1.847
2048.00000,1.848
2304.00000,1.849
