Index,Latency
0.00049,1.602
0.00098,1.602
0.00195,1.602
0.00293,1.618
0.00391,1.602
0.00586,1.606
0.00781,1.671
0.00977,1.602
0.01172,1.734
0.01367,1.743
0.01562,1.602
0.01758,1.744
0.01953,1.602
0.02148,1.743
0.02344,1.602
0.02539,1.638
0.02734,1.602
0.02930,1.690
0.03125,1.603
0.03516,1.603
0.03906,3.514
0.04297,3.860
0.04688,3.343
0.05078,4.076
0.05469,3.563
0.05859,3.144
0.06250,3.004
0.07031,4.252
0.07812,4.829
0.08594,5.207
0.09375,4.253
0.10156,5.496
0.10938,5.618
0.11719,5.703
0.12500,5.647
0.14062,5.648
0.15625,5.787
0.17188,6.164
0.18750,5.608
0.20312,7.343
0.21875,6.637
0.23438,6.644
0.25000,6.634
0.28125,6.681
0.31250,6.910
0.34375,6.673
0.37500,7.133
0.40625,6.834
0.43750,7.794
0.46875,7.378
0.50000,7.396
0.56250,9.476
0.62500,8.478
0.68750,9.389
0.75000,9.962
0.81250,10.818
0.87500,13.070
0.93750,13.788
1.00000,16.859
1.12500,25.723
1.25000,23.694
1.37500,28.614
1.50000,30.978
1.62500,35.936
1.75000,35.939
1.87500,35.635
2.00000,33.942
2.25000,33.601
2.50000,35.425
2.75000,35.588
3.00000,39.284
3.25000,48.021
3.50000,62.300
3.75000,88.205
4.00000,96.181
4.50000,99.783
5.00000,111.463
5.50000,117.615
6.00000,113.571
6.50000,117.792
7.00000,119.488
7.50000,120.167
8.00000,118.786
9.00000,142.942
10.00000,121.615
11.00000,122.650
12.00000,126.753
13.00000,125.804
14.00000,130.144
15.00000,127.880
16.00000,127.261
18.00000,128.080
20.00000,139.078
22.00000,150.647
24.00000,136.991
26.00000,133.404
28.00000,148.791
30.00000,134.526
32.00000,135.408
36.00000,136.420
40.00000,138.619
44.00000,137.925
48.00000,151.245
52.00000,141.308
56.00000,146.114
60.00000,143.371
64.00000,160.571
72.00000,148.850
80.00000,182.494
88.00000,158.940
96.00000,174.151
104.00000,166.531
112.00000,176.555
120.00000,207.841
128.00000,177.457
144.00000,198.822
160.00000,199.926
176.00000,199.442
192.00000,198.008
208.00000,206.366
224.00000,202.283
240.00000,200.914
256.00000,205.593
288.00000,206.040
320.00000,219.086
352.00000,202.282
384.00000,204.010
416.00000,204.198
448.00000,214.188
480.00000,204.009
512.00000,208.285
576.00000,204.547
640.00000,223.300
704.00000,204.928
768.00000,201.841
832.00000,208.376
896.00000,204.924
960.00000,204.201
1024.00000,205.904
1152.00000,207.116
1280.00000,206.321
1408.00000,207.114
1536.00000,206.222
1664.00000,204.780
1792.00000,204.310
1920.00000,204.245
2048.00000,203.190
2304.00000,205.287
