Index,Latency
0.00049,1.704
0.00098,1.672
0.00195,1.713
0.00293,1.634
0.00391,1.633
0.00586,1.639
0.00781,1.657
0.01172,1.603
0.01562,1.603
0.02344,1.636
0.03125,1.631
0.04688,1.652
0.06250,1.603
0.09375,1.756
0.12500,1.753
0.18750,1.752
0.25000,1.828
0.37500,1.791
0.50000,1.753
0.75000,1.853
1.00000,1.796
1.50000,1.806
2.00000,1.841
3.00000,1.850
4.00000,1.762
6.00000,1.841
8.00000,1.849
12.00000,1.887
16.00000,1.891
24.00000,1.827
32.00000,1.837
48.00000,1.826
64.00000,1.821
96.00000,1.829
128.00000,1.828
192.00000,1.819
256.00000,1.840
384.00000,1.851
512.00000,1.840
768.00000,1.859
1024.00000,1.853
1536.00000,1.860
2048.00000,1.849
3072.00000,1.851
4096.00000,1.864
