Index,Latency
0.00049,1.602
0.00098,1.602
0.00195,1.602
0.00293,1.602
0.00391,1.602
0.00586,1.602
0.00781,1.602
0.01172,1.602
0.01562,1.602
0.02344,1.602
0.03125,1.602
0.04688,3.156
0.06250,3.047
0.09375,5.264
0.12500,5.100
0.18750,5.626
0.25000,6.631
0.37500,6.724
0.50000,6.830
0.75000,8.689
1.00000,13.311
1.50000,27.875
2.00000,34.794
3.00000,36.882
4.00000,61.558
6.00000,118.152
8.00000,121.461
12.00000,125.239
16.00000,129.104
24.00000,133.024
32.00000,138.322
48.00000,145.982
64.00000,151.270
96.00000,169.060
128.00000,200.933
192.00000,213.480
256.00000,218.104
384.00000,218.611
512.00000,219.033
768.00000,217.839
1024.00000,218.250
1536.00000,219.917
2048.00000,222.390
3072.00000,222.268
4096.00000,222.596
