Index,Latency
0.00049,1.512
0.00098,1.512
0.00195,1.512
0.00293,1.512
0.00391,1.512
0.00586,1.511
0.00781,1.511
0.00977,1.512
0.01172,1.512
0.01367,1.512
0.01562,1.512
0.01758,1.512
0.01953,1.512
0.02148,1.512
0.02344,1.512
0.02539,1.511
0.02734,1.512
0.02930,1.512
0.03125,1.512
0.03516,1.513
0.03906,1.512
0.04297,1.513
0.04688,1.512
0.05078,1.513
0.05469,1.514
0.05859,1.516
0.06250,1.516
0.07031,1.631
0.07812,1.692
0.08594,1.722
0.09375,1.757
0.10156,1.780
0.10938,1.802
0.11719,1.818
0.12500,1.831
0.14062,1.850
0.15625,1.863
0.17188,1.870
0.18750,1.877
0.20312,1.883
0.21875,1.891
0.23438,1.894
0.25000,1.898
0.28125,1.905
0.31250,1.905
0.34375,1.909
0.37500,1.909
0.40625,1.909
0.43750,1.909
0.46875,1.908
0.50000,1.910
0.56250,1.911
0.62500,1.912
0.68750,1.913
0.75000,1.913
0.81250,1.916
0.87500,1.933
0.93750,1.916
1.00000,1.917
1.12500,1.980
1.25000,1.952
1.37500,1.945
1.50000,1.949
1.62500,1.953
1.75000,1.954
1.87500,1.952
2.00000,1.956
2.25000,1.952
2.50000,1.950
2.75000,1.945
3.00000,1.946
3.25000,1.949
3.50000,1.951
3.75000,1.949
4.00000,1.953
4.50000,1.955
5.00000,1.959
5.50000,1.960
6.00000,1.959
6.50000,1.959
7.00000,1.960
7.50000,1.960
8.00000,1.956
9.00000,1.963
10.00000,1.964
11.00000,1.962
12.00000,1.960
13.00000,1.962
14.00000,1.963
15.00000,1.962
16.00000,1.962
18.00000,1.962
20.00000,1.955
22.00000,1.959
24.00000,1.960
26.00000,1.961
28.00000,1.961
30.00000,1.963
32.00000,1.961
36.00000,1.960
40.00000,1.957
44.00000,1.954
48.00000,1.954
52.00000,1.960
56.00000,1.966
60.00000,1.960
64.00000,1.960
72.00000,1.953
80.00000,1.960
88.00000,1.954
96.00000,1.956
104.00000,1.959
112.00000,1.960
120.00000,1.957
128.00000,1.955
144.00000,1.957
160.00000,1.958
176.00000,1.953
192.00000,1.959
208.00000,1.949
224.00000,1.950
240.00000,1.957
256.00000,1.957
288.00000,1.959
320.00000,1.957
352.00000,1.958
384.00000,1.954
416.00000,1.958
448.00000,1.958
480.00000,1.957
512.00000,1.952
576.00000,1.959
640.00000,1.953
704.00000,1.954
768.00000,1.952
832.00000,1.956
896.00000,1.956
960.00000,1.957
1024.00000,1.957
1152.00000,1.941
1280.00000,1.953
1408.00000,1.953
1536.00000,1.951
1664.00000,1.953
1792.00000,1.952
1920.00000,1.951
2048.00000,1.954
2304.00000,1.946
