Index,Latency
0.00049,1.512
0.00098,1.512
0.00195,1.512
0.00293,1.512
0.00391,1.511
0.00586,1.511
0.00781,1.511
0.00977,1.511
0.01172,1.511
0.01367,1.511
0.01562,1.512
0.01758,1.512
0.01953,1.515
0.02148,1.512
0.02344,1.512
0.02539,1.512
0.02734,2.853
0.02930,1.511
0.03125,1.589
0.03516,3.778
0.03906,2.155
0.04297,3.383
0.04688,1.784
0.05078,3.154
0.05469,3.025
0.05859,4.006
0.06250,3.444
0.07031,3.010
0.07812,3.542
0.08594,3.687
0.09375,4.032
0.10156,4.207
0.10938,4.560
0.11719,4.606
0.12500,4.708
0.14062,4.845
0.15625,4.906
0.17188,4.880
0.18750,5.050
0.20312,5.629
0.21875,6.901
0.23438,9.094
0.25000,9.695
0.28125,12.176
0.31250,12.986
0.34375,14.677
0.37500,14.685
0.40625,16.361
0.43750,17.704
0.46875,18.371
0.50000,18.466
0.56250,19.678
0.62500,19.704
0.68750,20.345
0.75000,20.080
0.81250,23.843
0.87500,22.963
0.93750,26.279
1.00000,36.955
1.12500,40.098
1.25000,64.909
1.37500,79.693
1.50000,103.410
1.62500,121.087
1.75000,127.437
1.87500,145.769
2.00000,163.010
2.25000,193.675
2.50000,192.056
2.75000,205.112
3.00000,210.815
3.25000,210.505
3.50000,218.518
3.75000,219.754
4.00000,229.428
4.50000,232.337
5.00000,239.297
5.50000,249.850
6.00000,251.604
6.50000,250.974
7.00000,260.837
7.50000,265.332
8.00000,265.463
9.00000,251.627
10.00000,278.717
11.00000,273.594
12.00000,281.256
13.00000,283.708
14.00000,285.704
15.00000,284.584
16.00000,288.544
18.00000,296.154
20.00000,288.591
22.00000,295.345
24.00000,295.420
26.00000,291.894
28.00000,295.394
30.00000,298.743
32.00000,303.298
36.00000,313.180
40.00000,323.255
44.00000,342.723
48.00000,361.782
52.00000,374.801
56.00000,390.885
60.00000,401.902
64.00000,413.432
72.00000,425.046
80.00000,434.335
88.00000,442.765
96.00000,454.789
104.00000,450.638
112.00000,446.873
120.00000,458.158
128.00000,450.835
144.00000,467.952
160.00000,463.734
176.00000,468.096
192.00000,465.113
208.00000,427.266
224.00000,426.265
240.00000,437.160
256.00000,445.531
288.00000,451.106
320.00000,455.547
352.00000,458.554
384.00000,459.492
416.00000,462.346
448.00000,465.489
480.00000,463.963
512.00000,468.158
576.00000,466.497
640.00000,452.620
704.00000,453.733
768.00000,458.889
832.00000,462.150
896.00000,464.742
960.00000,464.543
1024.00000,466.233
1152.00000,497.003
1280.00000,494.278
1408.00000,489.043
1536.00000,487.506
1664.00000,350.347
1792.00000,351.174
1920.00000,447.536
2048.00000,462.082
