Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:46:03  13.7   0.0   0.5  85.8   0.0    2   6032   2688   0.00E
13:46:03  13.8   0.0   0.8  85.4   0.0    2   5902   2700   0.00E
13:46:04  14.2   0.0   0.5  85.3   0.0    2   5176   2466   0.00E
13:46:04  10.9   0.0   0.5  88.6   0.0    4   5102   2234   0.00E
13:46:05  13.7   0.0   0.8  85.6   0.0    2   6030   2556   0.00E
13:46:05  13.7   0.0   0.3  85.8   0.3    2   5698   2334   0.00E
13:46:06  13.9   0.0   0.5  85.6   0.0    2   5744   2556   0.00E
13:46:06  13.9   0.0   0.3  85.9   0.0    2   5682   2334   0.00E
13:46:07  13.6   0.0   0.8  85.6   0.0    2   5746   2422   0.00E
13:46:07  14.8   0.0   0.0  85.2   0.0    2   6976   2778   0.00E
13:46:08  13.3   0.0   0.5  86.2   0.0    2   6440   2782   0.00E
13:46:08  15.8   0.0   1.5  82.5   0.3    2  10236   5808   0.00E
13:46:09  14.6   0.0   0.8  84.7   0.0    3   8840   7804   0.00E
13:46:09  37.5   0.0   3.6  58.7   0.3    2  26022  10646   0.00E
13:46:10  22.0   0.0   2.1  76.0   0.0    5  23666   9450   0.00E
13:46:10  20.8   0.0   1.3  77.7   0.3    2  17132   7590   0.00E
13:46:11  18.0   0.0   1.3  80.7   0.0    2  12104   8026   0.00E
13:46:11  15.7   0.0   1.3  83.0   0.0    5  10024   8736   0.00E
13:46:12  13.1   0.0   2.3  84.6   0.0    1  11256   6562   0.00E
13:46:12   3.6   0.0   4.4  91.8   0.3    9   4158   2112   0.00E
13:46:13  39.2   0.0  60.8   0.0   0.0    9   4908   5012   0.00E
13:46:13  39.0   0.0  61.0   0.0   0.0    9   3108   4226   0.00E
13:46:14  37.5   0.0  62.5   0.0   0.0   14   3652   3390   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:46:14  39.2   0.0  60.8   0.0   0.0    9   3434   3254   0.00E
13:46:15  40.6   0.0  59.4   0.0   0.0    9   3304   3214   0.00E
13:46:15  40.4   0.0  59.6   0.0   0.0    9   3286   3290   0.00E
13:46:16  43.2   0.0  56.8   0.0   0.0   10   3612   3338   0.00E
13:46:16  38.8   0.0  61.2   0.0   0.0    9   2732   2950   0.00E
13:46:17  36.8   0.0  63.2   0.0   0.0    9   3104   3166   0.00E
13:46:17  38.0   0.0  62.0   0.0   0.0    9   3136   3188   0.00E
13:46:18  40.1   0.0  59.9   0.0   0.0    9   4204   3530   0.00E
13:46:18  42.4   0.0  57.6   0.0   0.0   10   3398   3206   0.00E
13:46:19  33.2   0.0  27.9  38.9   0.0    4   4686   3362   0.00E
13:46:19  25.5   0.0  12.4  62.1   0.0    3   4510   3136   0.00E
13:46:20  24.4   0.0  17.1  58.5   0.0    2   4822   3230   0.00E
13:46:20  22.7   0.0  11.8  65.2   0.3    6   4370   2884   0.00E
13:46:21  25.1   0.0  17.0  57.9   0.0    3   3604   3054   0.00E
13:46:21  21.5   0.0  14.4  64.1   0.0    5   3558   2894   0.00E
13:46:22  23.6   0.0  14.8  61.6   0.0    3   3198   2886   0.00E
13:46:22  22.7   0.0  16.9  60.2   0.3    5   2980   2900   0.00E
13:46:23  23.4   0.0  13.1  63.5   0.0    3   3788   3024   0.00E
13:46:23  23.2   0.0  17.6  59.2   0.0    4   3082   2798   0.00E
13:46:24  24.4   0.0  10.8  64.8   0.0    2   3798   2932   0.00E
13:46:24  25.7   0.0  17.6  56.7   0.0    5   3200   2978   0.00E
13:46:25  21.2   0.0  10.9  67.9   0.0    4   3418   2906   0.00E
13:46:25  25.3   0.0  19.2  55.6   0.0    4   3798   3046   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:46:26  21.1   0.0  11.8  67.1   0.0    5   3812   3054   0.00E
