[watts] 1.9, [volts] 123.1, [amps] 0.065, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 51.2, [mo. cost] 4.0, [max watts] 2.0, [max volts] 123.1, [max amps] 0.066, [min watts] 1.9, [min volts] 123.0, [min amps] 0.064, [power factor] 22.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 2.0, [volts] 123.1, [amps] 0.065, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 51.2, [mo. cost] 4.0, [max watts] 2.0, [max volts] 123.1, [max amps] 0.066, [min watts] 1.9, [min volts] 122.9, [min amps] 0.063, [power factor] 24.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 2.0, [volts] 123.0, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 54.4, [mo. cost] 4.3, [max watts] 2.0, [max volts] 123.2, [max amps] 0.066, [min watts] 1.9, [min volts] 122.9, [min amps] 0.063, [power factor] 24.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 1.9, [volts] 123.0, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 51.2, [mo. cost] 4.0, [max watts] 2.0, [max volts] 123.2, [max amps] 0.065, [min watts] 1.9, [min volts] 123.0, [min amps] 0.063, [power factor] 22.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 1.9, [volts] 123.0, [amps] 0.065, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 59.7, [mo. cost] 4.7, [max watts] 2.0, [max volts] 123.1, [max amps] 0.065, [min watts] 1.9, [min volts] 122.9, [min amps] 0.064, [power factor] 22.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 3.1, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 243.2, [mo. cost] 19.4, [max watts] 3.1, [max volts] 123.1, [max amps] 0.071, [min watts] 2.9, [min volts] 122.9, [min amps] 0.070, [power factor] 34.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.4, [volts] 123.0, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 243.2, [mo. cost] 19.4, [max watts] 3.4, [max volts] 123.0, [max amps] 0.074, [min watts] 3.2, [min volts] 122.8, [min amps] 0.070, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.2, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 247.5, [mo. cost] 19.8, [max watts] 4.2, [max volts] 123.2, [max amps] 0.072, [min watts] 4.1, [min volts] 123.0, [min amps] 0.070, [power factor] 44.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.4, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 239.0, [mo. cost] 19.1, [max watts] 4.4, [max volts] 123.2, [max amps] 0.071, [min watts] 4.4, [min volts] 122.9, [min amps] 0.070, [power factor] 46.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.5, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 236.8, [mo. cost] 18.9, [max watts] 4.5, [max volts] 123.2, [max amps] 0.072, [min watts] 4.5, [min volts] 123.0, [min amps] 0.070, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.5, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 240.7, [mo. cost] 19.2, [max watts] 4.6, [max volts] 123.3, [max amps] 0.072, [min watts] 4.5, [min volts] 122.8, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.5, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 239.0, [mo. cost] 19.1, [max watts] 4.5, [max volts] 123.1, [max amps] 0.071, [min watts] 4.5, [min volts] 122.7, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.6, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 243.2, [mo. cost] 19.4, [max watts] 4.6, [max volts] 123.1, [max amps] 0.072, [min watts] 4.5, [min volts] 122.9, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 240.7, [mo. cost] 19.2, [max watts] 4.6, [max volts] 123.1, [max amps] 0.072, [min watts] 4.5, [min volts] 122.7, [min amps] 0.069, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.5, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 241.1, [mo. cost] 19.2, [max watts] 4.6, [max volts] 123.2, [max amps] 0.071, [min watts] 4.5, [min volts] 123.0, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.1, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 236.8, [mo. cost] 18.9, [max watts] 4.6, [max volts] 123.2, [max amps] 0.072, [min watts] 4.6, [min volts] 123.0, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.2, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 238.1, [mo. cost] 19.0, [max watts] 4.6, [max volts] 123.2, [max amps] 0.075, [min watts] 4.6, [min volts] 123.0, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 239.0, [mo. cost] 19.1, [max watts] 4.6, [max volts] 123.2, [max amps] 0.071, [min watts] 4.5, [min volts] 123.0, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.1, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 236.8, [mo. cost] 18.9, [max watts] 4.5, [max volts] 123.1, [max amps] 0.071, [min watts] 4.5, [min volts] 122.9, [min amps] 0.070, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.1, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 239.0, [mo. cost] 19.1, [max watts] 4.6, [max volts] 123.1, [max amps] 0.073, [min watts] 4.5, [min volts] 123.0, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.1, [amps] 0.074, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 238.1, [mo. cost] 19.0, [max watts] 4.6, [max volts] 123.2, [max amps] 0.074, [min watts] 4.6, [min volts] 123.0, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.5, [volts] 123.2, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 238.6, [mo. cost] 19.0, [max watts] 4.6, [max volts] 123.3, [max amps] 0.074, [min watts] 4.5, [min volts] 123.1, [min amps] 0.071, [power factor] 47.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.6, [volts] 123.2, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 240.0, [mo. cost] 19.2, [max watts] 4.6, [max volts] 123.2, [max amps] 0.074, [min watts] 4.5, [min volts] 122.9, [min amps] 0.071, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.6, [volts] 123.1, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 240.3, [mo. cost] 19.2, [max watts] 4.6, [max volts] 123.3, [max amps] 0.074, [min watts] 4.6, [min volts] 122.9, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
