[watts] 0.0, [volts] 122.6, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.7, [max amps] 0.000, [min watts] 0.0, [min volts] 122.5, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.1, [VA] 7.6
[watts] 0.0, [volts] 122.6, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.7, [max amps] 0.000, [min watts] 0.0, [min volts] 122.5, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.1, [VA] 8.1
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.7, [max amps] 0.000, [min watts] 0.0, [min volts] 122.5, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.1, [VA] 7.8
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.7, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.1, [VA] 8.1
[watts] 0.0, [volts] 122.6, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.7, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.1, [VA] 7.8
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.7, [max amps] 0.000, [min watts] 0.0, [min volts] 122.5, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.6, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.6, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.5, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.1
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.7, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 7.8
[watts] 0.0, [volts] 122.6, [amps] 0.000, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 0.0, [mo. cost] 0.0, [max watts] 0.0, [max volts] 122.8, [max amps] 0.000, [min watts] 0.0, [min volts] 122.6, [min amps] 0.000, [power factor] 100.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.1
