[watts] 4.1, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 4.1, [max volts] 123.5, [max amps] 0.071, [min watts] 4.1, [min volts] 123.3, [min amps] 0.068, [power factor] 45.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.0, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 4.1, [max volts] 123.4, [max amps] 0.069, [min watts] 4.0, [min volts] 123.3, [min amps] 0.067, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.0, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 4.0, [max volts] 123.4, [max amps] 0.071, [min watts] 4.0, [min volts] 123.2, [min amps] 0.068, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.9, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 4.0, [max volts] 123.4, [max amps] 0.070, [min watts] 3.9, [min volts] 123.2, [min amps] 0.068, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 4.0, [volts] 123.3, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 185.6, [mo. cost] 14.8, [max watts] 4.0, [max volts] 123.4, [max amps] 0.073, [min watts] 3.9, [min volts] 123.2, [min amps] 0.069, [power factor] 43.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.9, [volts] 123.3, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 184.7, [mo. cost] 14.7, [max watts] 4.0, [max volts] 123.4, [max amps] 0.071, [min watts] 3.9, [min volts] 123.2, [min amps] 0.068, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.9, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 182.4, [mo. cost] 14.5, [max watts] 3.9, [max volts] 123.4, [max amps] 0.071, [min watts] 3.9, [min volts] 123.2, [min amps] 0.068, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 3.9, [max volts] 123.4, [max amps] 0.070, [min watts] 3.8, [min volts] 123.2, [min amps] 0.067, [power factor] 42.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.8, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.5, [mo. cost] 14.4, [max watts] 3.8, [max volts] 123.4, [max amps] 0.075, [min watts] 3.8, [min volts] 123.2, [min amps] 0.068, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 181.5, [mo. cost] 14.5, [max watts] 3.8, [max volts] 123.4, [max amps] 0.075, [min watts] 3.8, [min volts] 123.2, [min amps] 0.067, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.8, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.3, [mo. cost] 14.4, [max watts] 3.8, [max volts] 123.4, [max amps] 0.072, [min watts] 3.8, [min volts] 123.2, [min amps] 0.067, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.3, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 3.8, [max volts] 123.4, [max amps] 0.072, [min watts] 3.8, [min volts] 123.2, [min amps] 0.067, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.2, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.1, [mo. cost] 14.4, [max watts] 3.8, [max volts] 123.4, [max amps] 0.073, [min watts] 3.8, [min volts] 123.2, [min amps] 0.068, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.9, [mo. cost] 14.4, [max watts] 3.8, [max volts] 123.4, [max amps] 0.074, [min watts] 3.8, [min volts] 123.2, [min amps] 0.068, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.8, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.8, [mo. cost] 14.4, [max watts] 3.8, [max volts] 123.4, [max amps] 0.074, [min watts] 3.8, [min volts] 123.2, [min amps] 0.068, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.0, [mo. cost] 14.4, [max watts] 3.8, [max volts] 123.4, [max amps] 0.072, [min watts] 3.7, [min volts] 123.2, [min amps] 0.067, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.7, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 3.7, [max volts] 123.4, [max amps] 0.071, [min watts] 3.7, [min volts] 123.2, [min amps] 0.068, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.7, [volts] 123.4, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 178.5, [mo. cost] 14.2, [max watts] 3.7, [max volts] 123.4, [max amps] 0.075, [min watts] 3.7, [min volts] 123.2, [min amps] 0.066, [power factor] 41.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.7, [volts] 123.3, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 178.6, [mo. cost] 14.2, [max watts] 3.7, [max volts] 123.4, [max amps] 0.072, [min watts] 3.7, [min volts] 123.2, [min amps] 0.067, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.6, [volts] 123.3, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 178.0, [mo. cost] 14.2, [max watts] 3.7, [max volts] 123.4, [max amps] 0.073, [min watts] 3.6, [min volts] 123.2, [min amps] 0.067, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 178.0, [mo. cost] 14.2, [max watts] 3.7, [max volts] 123.4, [max amps] 0.073, [min watts] 3.6, [min volts] 123.2, [min amps] 0.067, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 178.7, [mo. cost] 14.2, [max watts] 3.7, [max volts] 123.4, [max amps] 0.074, [min watts] 3.7, [min volts] 123.3, [min amps] 0.068, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 3.7, [max volts] 123.4, [max amps] 0.075, [min watts] 3.7, [min volts] 123.2, [min amps] 0.068, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 179.2, [mo. cost] 14.3, [max watts] 3.7, [max volts] 123.4, [max amps] 0.073, [min watts] 3.7, [min volts] 123.2, [min amps] 0.067, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 178.7, [mo. cost] 14.3, [max watts] 3.7, [max volts] 123.4, [max amps] 0.074, [min watts] 3.7, [min volts] 123.2, [min amps] 0.067, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.6, [volts] 123.4, [amps] 0.067, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 177.3, [mo. cost] 14.1, [max watts] 3.7, [max volts] 123.4, [max amps] 0.071, [min watts] 3.6, [min volts] 123.3, [min amps] 0.067, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.5, [volts] 123.3, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 176.0, [mo. cost] 14.0, [max watts] 3.6, [max volts] 123.4, [max amps] 0.072, [min watts] 3.5, [min volts] 123.3, [min amps] 0.067, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 8.9
[watts] 3.5, [volts] 123.4, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 175.7, [mo. cost] 14.0, [max watts] 3.5, [max volts] 123.4, [max amps] 0.076, [min watts] 3.5, [min volts] 123.3, [min amps] 0.068, [power factor] 38.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.5, [volts] 123.4, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 175.8, [mo. cost] 14.0, [max watts] 3.5, [max volts] 123.4, [max amps] 0.075, [min watts] 3.5, [min volts] 123.2, [min amps] 0.068, [power factor] 38.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.6, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 175.5, [mo. cost] 14.0, [max watts] 3.6, [max volts] 123.4, [max amps] 0.073, [min watts] 3.5, [min volts] 123.2, [min amps] 0.068, [power factor] 38.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.6, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 175.6, [mo. cost] 14.0, [max watts] 3.6, [max volts] 123.4, [max amps] 0.075, [min watts] 3.6, [min volts] 123.3, [min amps] 0.068, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.6, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 176.1, [mo. cost] 14.0, [max watts] 3.6, [max volts] 123.5, [max amps] 0.075, [min watts] 3.6, [min volts] 123.3, [min amps] 0.068, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 176.6, [mo. cost] 14.1, [max watts] 3.7, [max volts] 123.4, [max amps] 0.076, [min watts] 3.6, [min volts] 123.3, [min amps] 0.069, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.7, [volts] 123.3, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 176.3, [mo. cost] 14.1, [max watts] 3.7, [max volts] 123.4, [max amps] 0.074, [min watts] 3.7, [min volts] 123.2, [min amps] 0.068, [power factor] 40.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.7, [volts] 123.4, [amps] 0.067, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 176.7, [mo. cost] 14.1, [max watts] 3.7, [max volts] 123.5, [max amps] 0.076, [min watts] 3.7, [min volts] 123.3, [min amps] 0.067, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
